"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Grant Anderson","MIL","RP","57.4","58","3","0","4.17","1.31","27","53","22","8","56","0","3","0","175"
"Brock Burke","CIN","RP","62.0","56","3","0","4.23","1.31","29","60","21","8","63","0","3","0","175"
"Jakob Junis","TEX","RP","63.3","55","3","0","4.06","1.22","29","61","17","8","57","0","3","0","174"
"Braydon Fisher","TOR","RP","51.9","59","3","0","3.79","1.28","22","43","23","6","52","0","2","0","174"
"Dietrich Enns","BAL","SP,RP","61.2","56","3","0","4.22","1.34","29","61","21","8","51","1","3","0","174"
"Stephen Kolek","KC","SP","71.1","50","4","0","4.33","1.37","34","75","23","7","31","9","4","0","174"
"Tyler Phillips","MIA","RP","67.5","49","3","2","4.40","1.38","33","70","23","8","59","0","3","0","174"
"Michael Kelly","ATH","RP","58.7","50","3","3","4.60","1.41","30","58","25","8","57","0","3","0","174"
"Angel Zerpa","MIL","RP","59.8","55","3","0","3.67","1.27","24","56","20","6","60","0","3","0","173"
"Yennier Cano","BAL","RP","57.5","53","3","1","3.81","1.31","24","55","21","6","60","0","3","0","172"
"Jake Bird","NYY","RP","54.8","57","3","0","3.97","1.31","24","49","23","6","52","0","3","0","172"
"Spencer Bivens","SF","RP","68.8","52","3","0","4.19","1.35","32","70","22","8","61","0","3","0","172"
"Antonio Senzatela","COL","SP,RP","81.8","50","3","0","5.50","1.58","50","101","28","13","45","6","5","0","172"
"Jackson Rutledge","WSH","SP,RP","59.6","51","3","2","4.71","1.40","31","60","24","9","54","0","3","0","171"
"A.J. Minter","NYM","RP","49.1","55","3","1","3.46","1.17","19","40","17","6","50","0","2","0","170"
"Hoby Milner","CHC","RP","62.0","53","3","0","3.86","1.28","27","61","18","7","63","0","3","0","170"
"Jordan Hicks","CWS","SP,RP","57.2","52","3","1","4.21","1.40","27","55","25","6","52","0","3","0","168"
"Anthony Banda","MIN","RP","56.6","55","3","0","4.35","1.38","27","53","25","7","56","0","3","0","168"
"Tommy Nance","TOR","RP","56.0","54","3","0","3.79","1.27","24","53","18","6","54","0","3","0","167"
"Ryan Yarbrough","NYY","SP,RP","63.9","52","3","0","4.34","1.26","31","62","19","10","43","2","3","0","167"
"Yoendrys Gomez","TB","SP,RP","55.9","55","3","0","4.33","1.32","27","51","23","8","35","4","3","0","167"
"Ben Casparius","LAD","SP,RP","57.5","54","3","0","4.43","1.33","28","55","22","8","49","0","3","0","167"
"Troy Melton","DET","SP,RP","57.8","53","3","0","4.09","1.26","26","54","18","8","32","5","3","0","166"
"Brandon Eisert","CWS","SP,RP","55.7","54","3","0","4.22","1.32","26","53","20","8","55","0","3","0","166"
"Justin Wrobleski","LAD","RP","58.7","53","3","0","4.27","1.32","28","57","21","8","33","4","3","0","166"
"Bailey Falter","KC","SP","68.4","50","3","0","4.66","1.35","35","69","23","10","40","5","4","0","166"
"Payton Tolle","BOS","SP,RP","52.1","55","3","0","4.09","1.24","24","47","18","8","26","6","3","0","165"
"Tim Herrin","CLE","RP","52.6","54","3","0","3.83","1.34","22","46","25","5","55","0","3","0","165"
"Javier Assad","CHC","SP","62.6","51","3","0","4.16","1.34","29","60","24","8","40","4","3","0","165"
"Zack Kelly","BOS","SP,RP","55.7","54","3","0","4.32","1.39","27","52","26","7","53","0","3","0","165"
