Overall Pick,Round,Team,Player,MLB Team,Position(s)
105,9,steel,Spencer Strider,ATL,SP
106,9,SoCal Swing Kings,Josh Hader,HOU,RP
107,9,Lu's Lazers,Taylor Ward,BAL,OF
108,9,Harrison the Master Bader!,Sonny Gray,BOS,SP
109,10,Harrison the Master Bader!,Tyler Glasnow,LAD,SP
110,10,Lu's Lazers,Salvador Perez,KC,"C,1B"
111,10,SoCal Swing Kings,Nick Lodolo,CIN,SP
112,10,steel,Seiya Suzuki,CHC,OF
113,10,Vladdy's Wagons,Willson Contreras,BOS,1B
114,10,Dancing Homers,Chase Burns,CIN,"SP,RP"
115,10,ITS YEEEEEE BOYYYY,Trey Yesavage,TOR,SP
116,10,Joe's Sluggers,Luis Castillo,SEA,SP
117,10,Foltzy's Roid Ragers,Ozzie Albies,ATL,2B
118,10,Brandon's Badass Bitches,Cam Schlittler,NYY,SP
119,10,Fly The W,Andy Pages,LAD,OF
120,10,bobby's Bases Loaded,Xavier Edwards,MIA,"2B,SS"
121,11,bobby's Bases Loaded,Emmet Sheehan,LAD,SP
122,11,Fly The W,Zack Wheeler,PHI,SP
123,11,Brandon's Badass Bitches,Ryan Pepiot,TB,SP
124,11,Foltzy's Roid Ragers,Michael Harris II,ATL,OF
125,11,Joe's Sluggers,Luke Keaschall,MIN,2B
126,11,ITS YEEEEEE BOYYYY,Matt Chapman,SF,3B
127,11,Dancing Homers,Brandon Woodruff,MIL,SP
128,11,Vladdy's Wagons,Nathan Eovaldi,TEX,SP
129,11,steel,Trevor Story,BOS,SS
130,11,SoCal Swing Kings,Munetaka Murakami,CWS,"1B,3B"
131,11,Lu's Lazers,Blake Snell,LAD,SP
132,11,Harrison the Master Bader!,Michael King,SD,SP
133,12,Harrison the Master Bader!,MacKenzie Gore,TEX,SP
134,12,Lu's Lazers,Dansby Swanson,CHC,SS
135,12,SoCal Swing Kings,Jo Adell,LAA,OF
136,12,steel,Bubba Chandler,PIT,SP
137,12,Vladdy's Wagons,Steven Kwan,CLE,OF
138,12,Dancing Homers,Ranger Suárez,BOS,SP
139,12,ITS YEEEEEE BOYYYY,Robbie Ray,SF,SP
140,12,Joe's Sluggers,Agustín Ramírez,MIA,C
141,12,Foltzy's Roid Ragers,Brandon Nimmo,TEX,OF
142,12,Brandon's Badass Bitches,Gavin Williams,CLE,SP
143,12,Fly The W,Shota Imanaga,CHC,SP
144,12,bobby's Bases Loaded,Yandy Díaz,TB,1B
145,13,bobby's Bases Loaded,Drake Baldwin,ATL,C
146,13,Fly The W,Matthew Boyd,CHC,SP
147,13,Brandon's Badass Bitches,Yainer Diaz,HOU,C
148,13,Foltzy's Roid Ragers,Trevor Rogers,BAL,SP
149,13,Joe's Sluggers,Luis Robert Jr.,NYM,OF
150,13,ITS YEEEEEE BOYYYY,Brenton Doyle,COL,OF
151,13,Dancing Homers,Ivan Herrera,STL,C
152,13,Vladdy's Wagons,Jacob Wilson,ATH,SS
153,13,steel,Sandy Alcantara,MIA,SP
154,13,SoCal Swing Kings,Gleyber Torres,DET,2B
155,13,Lu's Lazers,Drew Rasmussen,TB,SP
156,13,Harrison the Master Bader!,Spencer Torkelson,DET,1B
157,14,Harrison the Master Bader!,Marcus Semien,NYM,2B
158,14,Lu's Lazers,Jakob Marsee,MIA,OF
159,14,SoCal Swing Kings,Hunter Greene,CIN,SP
160,14,steel,Tanner Bibee,CLE,SP
161,14,Vladdy's Wagons,Christian Walker,HOU,1B
162,14,Dancing Homers,Kazuma Okamoto,TOR,"1B,3B"
163,14,ITS YEEEEEE BOYYYY,Carlos Estévez,KC,RP
164,14,Joe's Sluggers,Cade Horton,CHC,SP
165,14,Foltzy's Roid Ragers,Bryan Reynolds,PIT,OF
166,14,Brandon's Badass Bitches,Aaron Nola,PHI,SP
167,14,Fly The W,Colson Montgomery,CWS,"3B,SS"
168,14,bobby's Bases Loaded,Jorge Polanco,NYM,"2B,3B"
169,15,bobby's Bases Loaded,Jack Flaherty,DET,SP
170,15,Fly The W,Tatsuya Imai,HOU,SP
171,15,Brandon's Badass Bitches,Zac Gallen,AZ,SP
172,15,Foltzy's Roid Ragers,Carlos Rodón,NYY,SP
173,15,Joe's Sluggers,Alec Burleson,STL,"1B,OF"
174,15,ITS YEEEEEE BOYYYY,Shane McClanahan,TB,SP
175,15,Dancing Homers,Joe Musgrove,SD,SP
176,15,Vladdy's Wagons,Konnor Griffin,PIT,"SS,OF"
