"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Darren McCaughan","CIN","SP,RP","11.1","9","1","0","5.28","1.44","7","13","4","3","4","1","1","0","31"
"Jared Shuster","STL","SP,RP","11.8","9","1","0","5.34","1.65","7","14","6","2","7","1","1","0","31"
"Ben Hess","NYY","SP","9.3","9","1","0","4.34","1.39","5","9","5","2","2","2","1","0","30"
"Anthony Misiewicz","CIN","RP","10.1","9","1","0","4.91","1.34","6","10","4","2","10","0","1","0","30"
"Bryce Montes de Oca","WSH","RP","10.0","11","0","0","4.05","1.47","4","9","6","1","10","0","1","0","30"
"Matt Krook","ATH","RP","8.1","9","1","0","4.46","1.61","4","7","7","1","9","0","1","0","29"
"Austin Pope","ATL","RP","8.6","9","1","0","4.72","1.57","5","9","5","1","5","0","1","0","29"
"Owen White","","SP,RP","11.8","8","1","0","5.32","1.69","7","13","8","2","6","1","1","0","29"
"Logan VanWey","HOU","RP","9.1","9","1","0","5.96","1.93","6","9","9","2","8","0","1","0","29"
"Kevin Herget","NYM","RP","9.4","8","1","0","4.16","1.23","4","9","3","1","6","0","0","0","28"
"Christian Roa","HOU","RP","9.3","8","1","0","4.38","1.40","5","8","5","1","6","1","1","0","28"
"AJ Smith-Shawver","ATL","SP","9.9","10","0","0","4.09","1.30","4","9","4","1","7","1","0","0","28"
"Nick Frasso","LAD","SP,RP","10.7","8","1","0","5.49","1.78","7","11","8","2","11","1","1","0","28"
"Jairo Iriarte","CWS","RP","11.8","10","0","0","5.35","1.68","7","11","8","2","11","0","1","0","28"
"Jake Miller","CLE","","10.0","7","1","0","4.74","1.43","5","10","4","1","10","0","1","0","27"
"Blas Castano","SEA","SP,RP","12.0","9","0","0","4.53","1.38","6","12","4","2","10","0","1","0","27"
"Tommy Henry","ARI","RP","9.0","8","1","0","5.52","1.62","6","10","5","2","2","2","0","0","27"
"Valente Bellozo","COL","SP,RP","12.5","9","0","0","5.06","1.42","7","14","4","2","9","1","1","0","27"
"Connor Thomas","MIL","RP","9.9","7","1","0","4.55","1.47","5","11","4","2","4","1","1","0","26"
"Lucas Braun","ATL","SP","7.8","7","1","0","4.05","1.22","4","7","3","1","2","2","0","0","25"
"Jean Cabrera","PHI","SP","11.9","8","0","0","4.88","1.46","6","12","5","2","3","3","1","0","25"
"Yoniel Curet","PHI","SP","10.4","9","0","0","4.94","1.54","6","10","6","1","5","2","1","0","25"
"Daniel Robert","PHI","RP","8.1","9","0","0","4.22","1.31","4","7","4","1","9","0","0","0","24"
"Michael Mercado","PHI","RP","7.8","7","1","0","5.22","1.74","5","8","6","1","6","0","1","0","24"
"Nick Hernandez","ATH","RP","8.2","9","0","0","5.03","1.41","5","8","4","1","7","0","0","0","24"
"Elmer Rodriguez","NYY","SP","8.9","8","0","0","4.05","1.36","4","9","3","1","6","1","0","0","23"
"Brody Hopkins","TB","SP","8.5","8","0","0","4.53","1.45","4","8","4","1","2","2","1","0","23"
"Walbert Urena","LAA","SP","10.3","8","0","0","4.99","1.58","6","11","5","1","8","0","1","0","23"
"Francis Pena","SD","RP","7.4","6","1","0","4.48","1.49","4","7","4","1","7","0","1","0","22"
"Reggie Crawford","SF","RP","7.6","8","0","0","4.34","1.40","4","7","4","1","8","0","0","0","22"
"Cole Irvin","LAD","SP,RP","10.3","7","0","0","4.70","1.37","5","11","3","2","3","2","0","0","22"
"Julian Merryweather","MIN","RP","8.7","8","0","0","5.14","1.47","5","9","4","1","9","0","0","0","22"
"Collin Snider","CHC","RP","9.0","7","0","0","4.54","1.38","5","9","3","1","9","0","1","0","21"
"Ryder Ryan","LAD","RP","9.3","7","0","0","4.70","1.44","5","10","4","1","9","0","1","0","21"
"Max Kranick","","RP","6.3","5","1","0","4.29","1.27","3","6","2","1","4","0","0","0","20"
"Jackson Wolf","SD","SP","7.7","7","0","0","4.24","1.35","4","7","3","1","4","0","0","0","20"
"Corbin Martin","CHC","RP","7.9","7","0","0","4.60","1.44","4","7","4","1","8","0","0","0","20"
"Pete Hansen","STL","SP","8.7","6","0","0","4.65","1.44","4","10","3","1","2","2","1","0","19"
"Sauryn Lao","","RP","7.3","6","0","0","3.95","1.29","3","7","3","1","5","0","0","0","18"
"Chen Zhong-Ao Zhuang","ATH","SP","7.8","6","0","0","4.63","1.25","4","8","2","1","8","0","0","0","18"
"Jhonathan Diaz","SEA","RP","8.1","6","0","0","4.34","1.36","4","9","2","1","5","1","0","0","18"
"Jackson Jobe","DET","SP,RP","7.7","6","0","0","4.50","1.41","4","7","4","1","3","1","0","0","18"
"Andrew Sears","DET","SP","7.6","6","0","0","4.60","1.39","4","7","3","1","8","0","0","0","18"
"Marco Gonzales","SD","SP","8.3","6","0","0","4.97","1.44","5","9","3","1","2","2","1","0","18"
"Sean Sullivan","COL","SP","8.6","6","0","0","5.28","1.40","5","9","3","1","2","2","1","0","18"
"Brandon Walter","HOU","SP","6.3","6","0","0","3.92","1.12","3","6","1","1","1","1","0","0","17"
"Christian MacLeod","MIN","","5.4","4","1","0","4.63","1.59","3","6","2","1","4","1","1","0","17"
"K.C. Hunt","MIL","SP","6.3","6","0","0","4.27","1.30","3","6","2","1","6","0","0","0","17"
"Tucker Davidson","PHI","RP","7.3","6","0","0","4.46","1.38","4","7","3","1","7","0","0","0","17"
"Guillo Zuniga","SEA","RP","7.3","6","0","0","4.47","1.39","4","7","3","1","7","0","0","0","17"
"Austin Voth","CWS","RP","7.4","6","0","0","4.86","1.37","4","8","3","1","7","0","0","0","17"
"Nathan Wiles","","RP","6.9","6","0","0","5.21","1.45","4","8","3","2","6","1","1","0","17"
"Hobie Harris","BOS","RP","7.3","6","0","0","4.83","1.54","4","8","4","1","7","0","1","0","17"
"Eric Torres","BAL","RP","6.0","6","0","0","4.98","1.60","3","6","4","1","6","0","0","0","17"
"Kevin Abel","CIN","","7.8","6","0","0","5.34","1.52","5","8","4","1","8","0","1","0","17"
"Triston McKenzie","SD","SP","6.4","6","0","0","5.17","1.45","4","6","3","1","3","1","0","0","16"
"Joel Hurtado","LAA","SP","8.1","5","0","0","5.26","1.55","5","9","3","1","2","2","1","0","16"
"Matt Seelinger","DET","","6.0","5","0","0","4.46","1.38","3","6","3","1","6","0","0","0","15"
"Ben Lively","CLE","SP","6.4","5","0","0","4.84","1.40","3","7","2","1","1","1","0","0","15"
"Carson Spiers","CIN","SP,RP","6.7","5","0","0","5.08","1.51","4","7","3","1","2","1","0","0","15"
"Casey Lawrence","SEA","RP","8.2","4","0","0","5.37","1.44","5","10","2","1","2","2","1","0","14"
"Casey Kelly","","RP","8.2","4","0","0","6.04","1.89","6","11","5","2","5","1","1","0","13"
"Joe Elbis","ARI","SP","5.2","4","0","0","4.98","1.42","3","6","2","1","2","1","0","0","12"
"Jagger Haynes","SD","SP","5.1","4","0","0","5.10","1.48","3","5","2","1","1","1","0","0","12"
"Shelby Miller","CHC","RP","3.4","4","0","0","3.84","1.20","1","3","1","0","3","0","0","0","11"
"Peyton Gray","TEX","RP","3.4","4","0","0","4.30","1.59","2","4","2","0","2","0","0","0","10"
"Robby Ahlstrom","TEX","","4.1","3","0","0","5.78","1.47","3","4","2","0","4","0","0","0","9"
"Nestor German","BAL","SP","2.2","2","0","0","4.04","1.35","1","2","1","1","1","1","0","0","6"
"Alec Marsh","KC","SP","2.3","2","0","0","3.90","1.52","1","3","1","1","1","1","0","0","6"
"Levi Wells","BAL","SP","1.8","2","0","0","5.10","1.70","1","2","1","1","1","1","0","0","5"
"Wilmer Flores","","SP","1.5","1","0","0","6.21","1.38","1","2","1","0","1","1","0","0","3"
""
""
