"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Carson Seymour","SF","SP,RP","21.9","19","1","0","4.19","1.37","10","22","9","3","17","0","1","0","60"
"Riley Martin","CHC","RP","19.2","20","1","0","4.06","1.42","9","17","10","2","19","0","1","0","60"
"Kyle Wright","CHC","SP","22.0","19","1","0","4.33","1.37","11","22","8","3","16","1","1","0","60"
"Miguel Ullola","HOU","SP,RP","19.1","20","1","0","4.36","1.40","9","16","10","3","19","0","1","0","60"
"Taylor Rashi","ARI","RP","20.4","20","1","0","4.46","1.49","10","19","11","2","12","0","1","0","60"
"Codi Heuer","CLE","RP","18.0","20","1","0","3.99","1.30","8","16","8","3","12","0","1","0","59"
"Lazaro Estrada","TOR","SP,RP","20.5","19","1","0","4.47","1.29","10","20","6","3","17","0","1","0","59"
"Jack Neely","CHC","RP","19.3","20","1","0","4.59","1.45","10","17","11","3","19","0","1","0","59"
"Seth Johnson","PHI","SP,RP","21.0","19","1","0","4.74","1.47","11","21","10","3","19","0","1","0","59"
"Gabriel Hughes","COL","SP","24.9","18","1","0","5.04","1.48","14","28","9","4","18","2","2","0","59"
"Shawn Dubin","ARI","RP","19.8","19","1","0","3.86","1.36","9","19","9","2","17","0","1","0","58"
"Derek Law","ARI","RP","21.9","18","1","0","4.23","1.37","10","22","8","2","21","0","1","0","58"
"Winston Santos","TEX","SP","16.6","20","1","0","4.33","1.38","8","15","8","3","4","4","1","0","58"
"Angel Bastardo","TOR","SP","20.2","19","1","0","4.32","1.38","10","19","9","3","17","1","1","0","58"
"Osvaldo Bido","NYY","SP,RP","20.7","19","1","0","4.66","1.39","11","20","9","3","15","0","1","0","58"
"Nick Anderson","ATH","RP","20.8","19","1","0","4.69","1.41","11","21","8","3","20","0","1","0","58"
"Colin Poche","","RP","20.5","19","1","0","4.71","1.41","11","19","10","3","22","0","1","0","58"
"Jose Corniell","TEX","SP","19.6","18","1","0","3.71","1.18","8","17","6","2","16","0","1","0","57"
"Tyler Uberstine","BOS","SP","20.7","18","1","0","4.44","1.33","10","21","7","3","14","2","1","0","57"
"Seth Martinez","BOS","RP","21.6","18","1","0","4.57","1.38","11","21","8","3","21","0","1","0","57"
"Ryan Loutos","SEA","RP","21.1","18","1","0","4.52","1.42","11","21","9","3","21","0","1","0","57"
"Alexander Alberto","CWS","RP","22.7","18","1","0","5.12","1.59","13","23","13","3","22","0","2","0","57"
"Kervin Castro","NYY","RP","19.4","18","1","0","4.27","1.36","9","18","9","2","19","0","1","0","56"
"Rolddy Munoz","ATL","RP","19.8","18","1","0","4.46","1.48","10","19","10","2","19","0","1","0","56"
"Ryan Rolison","CHC","RP","22.6","17","1","0","4.61","1.43","12","23","9","3","21","0","1","0","56"
"Landon Knack","LAD","SP","20.1","18","1","0","5.02","1.39","11","20","8","4","11","2","1","0","56"
"Scott Blewett","STL","RP","22.5","17","1","0","4.81","1.43","12","24","9","3","20","0","1","0","56"
"Andry Lara","WSH","RP","23.8","17","1","0","4.92","1.50","13","25","11","3","16","0","1","0","56"
"Ryan Borucki","CWS","RP","18.2","18","1","0","4.03","1.31","8","16","8","2","19","0","1","0","55"
"Joey Gerber","NYM","SP,RP","18.3","18","1","0","4.48","1.31","9","17","7","3","16","0","1","0","55"
"Carlos Hernandez","CLE","RP","18.1","18","1","0","4.26","1.36","9","17","8","2","18","0","1","0","55"
"Genesis Cabrera","PHI","RP","19.3","18","1","0","4.66","1.40","10","19","8","3","19","0","1","0","55"
"T.J. McFarland","","RP","24.3","16","1","0","4.43","1.42","12","26","8","3","26","0","1","0","55"
"Chayce McDermott","BAL","SP,RP","18.2","18","1","0","4.65","1.48","9","17","10","3","15","1","1","0","55"
"Michael Grove","","RP","16.4","18","1","0","3.85","1.22","7","15","5","2","12","1","1","0","54"
"Gavin Collyer","TEX","","17.9","18","1","0","4.88","1.49","10","17","10","2","18","0","1","0","54"
"Nabil Crismatt","TEX","SP,RP","21.5","17","1","0","5.24","1.47","13","24","8","5","11","1","1","0","54"
"Philip Abner","ARI","RP","18.5","17","1","0","4.13","1.35","9","18","7","2","19","0","1","0","53"
"Tink Hence","STL","SP","17.9","17","1","0","4.15","1.35","8","16","8","2","7","3","1","0","53"
"Domingo Gonzalez","SEA","RP","18.3","17","1","0","4.31","1.36","9","17","8","2","18","0","1","0","53"
"Kohl Drake","ARI","SP","18.9","17","1","0","4.44","1.38","9","19","7","3","5","3","1","0","53"
"Ronan Kopp","LAD","RP","15.8","18","1","0","4.31","1.47","8","14","10","2","16","0","1","0","53"
"Alex Hoppe","SEA","RP","18.2","17","1","0","4.27","1.46","9","17","9","2","18","0","1","0","53"
"Bryan Sammons","DET","RP","18.6","17","1","0","4.60","1.42","10","18","9","4","4","1","1","0","53"
"Ty Johnson","TB","SP,RP","16.6","17","1","0","4.08","1.25","8","15","6","2","3","3","1","0","52"
"Danny Young","ATL","RP","16.2","17","1","0","3.83","1.34","7","15","7","2","17","0","1","0","52"
"Drew Sommers","DET","RP","18.6","16","1","0","3.96","1.36","8","18","7","2","19","0","1","0","52"
"Tony Gonsolin","","SP","17.3","17","1","0","4.58","1.35","9","16","8","3","4","3","1","0","52"
